CPUID Registers (CPU #1):
CPUID 00000000: 00000005-68747541-444D4163-69746E65
CPUID 00000001: 00100F52-00030800-00802009-178BFBFF
CPUID 00000002: 00000000-00000000-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000005: 00000040-00000040-00000003-00000000
CPUID 80000000: 8000001B-68747541-444D4163-69746E65
CPUID 80000001: 00100F52-10000000-000037FF-EFD3FBFF
CPUID 80000002: 20444D41-69676E45-7265656E-20676E69
CPUID 80000003: 706D6153-0000656C-00000000-00000000
CPUID 80000004: 00000000-00000000-00000000-00000000
CPUID 80000005: FF30FF10-FF30FF20-40020140-40020140
CPUID 80000006: 20800000-42004200-02008140-00000000
CPUID 80000007: 00000000-00000000-00000000-000001F9
CPUID 80000008: 00003030-00000000-00002002-00000000
CPUID 80000009: 00000000-00000000-00000000-00000000
CPUID 8000000A: 00000001-00000040-00000000-0000000F
CPUID 8000000B: 00000000-00000000-00000000-00000000
CPUID 8000000C: 00000000-00000000-00000000-00000000
CPUID 8000000D: 00000000-00000000-00000000-00000000
CPUID 8000000E: 00000000-00000000-00000000-00000000
CPUID 8000000F: 00000000-00000000-00000000-00000000
CPUID 80000010: 00000000-00000000-00000000-00000000
CPUID 80000011: 00000000-00000000-00000000-00000000
CPUID 80000012: 00000000-00000000-00000000-00000000
CPUID 80000013: 00000000-00000000-00000000-00000000
CPUID 80000014: 00000000-00000000-00000000-00000000
CPUID 80000015: 00000000-00000000-00000000-00000000
CPUID 80000016: 00000000-00000000-00000000-00000000
CPUID 80000017: 00000000-00000000-00000000-00000000
CPUID 80000018: 00000000-00000000-00000000-00000000
CPUID 80000019: F0300000-60100000-00000000-00000000
CPUID 8000001A: 00000003-00000000-00000000-00000000
CPUID 8000001B: 0000001F-00000000-00000000-00000000

CPUID Registers (CPU #2):
CPUID 00000000: 00000005-68747541-444D4163-69746E65
CPUID 00000001: 00100F52-01030800-00802009-178BFBFF
CPUID 00000002: 00000000-00000000-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000005: 00000040-00000040-00000003-00000000
CPUID 80000000: 8000001B-68747541-444D4163-69746E65
CPUID 80000001: 00100F52-10000000-000037FF-EFD3FBFF
CPUID 80000002: 20444D41-69676E45-7265656E-20676E69
CPUID 80000003: 706D6153-0000656C-00000000-00000000
CPUID 80000004: 00000000-00000000-00000000-00000000
CPUID 80000005: FF30FF10-FF30FF20-40020140-40020140
CPUID 80000006: 20800000-42004200-02008140-00000000
CPUID 80000007: 00000000-00000000-00000000-000001F9
CPUID 80000008: 00003030-00000000-00002002-00000000
CPUID 80000009: 00000000-00000000-00000000-00000000
CPUID 8000000A: 00000001-00000040-00000000-0000000F
CPUID 8000000B: 00000000-00000000-00000000-00000000
CPUID 8000000C: 00000000-00000000-00000000-00000000
CPUID 8000000D: 00000000-00000000-00000000-00000000
CPUID 8000000E: 00000000-00000000-00000000-00000000
CPUID 8000000F: 00000000-00000000-00000000-00000000
CPUID 80000010: 00000000-00000000-00000000-00000000
CPUID 80000011: 00000000-00000000-00000000-00000000
CPUID 80000012: 00000000-00000000-00000000-00000000
CPUID 80000013: 00000000-00000000-00000000-00000000
CPUID 80000014: 00000000-00000000-00000000-00000000
CPUID 80000015: 00000000-00000000-00000000-00000000
CPUID 80000016: 00000000-00000000-00000000-00000000
CPUID 80000017: 00000000-00000000-00000000-00000000
CPUID 80000018: 00000000-00000000-00000000-00000000
CPUID 80000019: F0300000-60100000-00000000-00000000
CPUID 8000001A: 00000003-00000000-00000000-00000000
CPUID 8000001B: 0000001F-00000000-00000000-00000000

CPUID Registers (CPU #3):
CPUID 00000000: 00000005-68747541-444D4163-69746E65
CPUID 00000001: 00100F52-02030800-00802009-178BFBFF
CPUID 00000002: 00000000-00000000-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000005: 00000040-00000040-00000003-00000000
CPUID 80000000: 8000001B-68747541-444D4163-69746E65
CPUID 80000001: 00100F52-10000000-000037FF-EFD3FBFF
CPUID 80000002: 20444D41-69676E45-7265656E-20676E69
CPUID 80000003: 706D6153-0000656C-00000000-00000000
CPUID 80000004: 00000000-00000000-00000000-00000000
CPUID 80000005: FF30FF10-FF30FF20-40020140-40020140
CPUID 80000006: 20800000-42004200-02008140-00000000
CPUID 80000007: 00000000-00000000-00000000-000001F9
CPUID 80000008: 00003030-00000000-00002002-00000000
CPUID 80000009: 00000000-00000000-00000000-00000000
CPUID 8000000A: 00000001-00000040-00000000-0000000F
CPUID 8000000B: 00000000-00000000-00000000-00000000
CPUID 8000000C: 00000000-00000000-00000000-00000000
CPUID 8000000D: 00000000-00000000-00000000-00000000
CPUID 8000000E: 00000000-00000000-00000000-00000000
CPUID 8000000F: 00000000-00000000-00000000-00000000
CPUID 80000010: 00000000-00000000-00000000-00000000
CPUID 80000011: 00000000-00000000-00000000-00000000
CPUID 80000012: 00000000-00000000-00000000-00000000
CPUID 80000013: 00000000-00000000-00000000-00000000
CPUID 80000014: 00000000-00000000-00000000-00000000
CPUID 80000015: 00000000-00000000-00000000-00000000
CPUID 80000016: 00000000-00000000-00000000-00000000
CPUID 80000017: 00000000-00000000-00000000-00000000
CPUID 80000018: 00000000-00000000-00000000-00000000
CPUID 80000019: F0300000-60100000-00000000-00000000
CPUID 8000001A: 00000003-00000000-00000000-00000000
CPUID 8000001B: 0000001F-00000000-00000000-00000000 
