CPUID Registers (CPU #1):
CPUID 00000000: 0000000D-68747541-444D4163-69746E65
CPUID 00000001: 00600F01-00040800-1E98220B-178BFBFF
CPUID 00000002: 00000000-00000000-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000005: 00000040-00000040-00000003-00000000
CPUID 00000006: 00000000-00000000-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 00000000-00000000-00000000-00000000
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000340-000003C0-40000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 8000001E-68747541-444D4163-69746E65
CPUID 80000001: 00600F01-10000000-01C9BFFF-2FD3FBFF
CPUID 80000002: 20444D41-20676E45-706D6153-202C656C
CPUID 80000003: 3033445A-36343032-344B3457-36335F33
CPUID 80000004: 2F30332F-325F3032-415F382F-00000000
CPUID 80000005: FF20FF18-FF20FF30-10040140-40020140
CPUID 80000006: 64000000-64004200-08008140-0040C140
CPUID 80000007: 00000000-00000000-00000000-000003D9
CPUID 80000008: 00003030-00000000-00004003-00000000
CPUID 80000009: 00000000-00000000-00000000-00000000
CPUID 8000000A: 00000001-00010000-00000000-000014FF
CPUID 8000000B: 00000000-00000000-00000000-00000000
CPUID 8000000C: 00000000-00000000-00000000-00000000
CPUID 8000000D: 00000000-00000000-00000000-00000000
CPUID 8000000E: 00000000-00000000-00000000-00000000
CPUID 8000000F: 00000000-00000000-00000000-00000000
CPUID 80000010: 00000000-00000000-00000000-00000000
CPUID 80000011: 00000000-00000000-00000000-00000000
CPUID 80000012: 00000000-00000000-00000000-00000000
CPUID 80000013: 00000000-00000000-00000000-00000000
CPUID 80000014: 00000000-00000000-00000000-00000000
CPUID 80000015: 00000000-00000000-00000000-00000000
CPUID 80000016: 00000000-00000000-00000000-00000000
CPUID 80000017: 00000000-00000000-00000000-00000000
CPUID 80000018: 00000000-00000000-00000000-00000000
CPUID 80000019: F020F018-64000000-00000000-00000000
CPUID 8000001A: 00000003-00000000-00000000-00000000
CPUID 8000001B: 000000FF-00000000-00000000-00000000
CPUID 8000001C: 00000000-80032013-00010200-8000000F
CPUID 8000001D: 00000121-00C0003F-0000003F-00000000
CPUID 8000001D: 00004122-0040003F-000001FF-00000000
CPUID 8000001D: 00004143-03C0003F-000007FF-00000001
CPUID 8000001D: 00004163-0FC0003F-000007FF-00000001
CPUID 8000001E: 00000010-00000100-00000000-00000000

CPUID Registers (CPU #2):
CPUID 00000000: 0000000D-68747541-444D4163-69746E65
CPUID 00000001: 00600F01-01040800-1E98220B-178BFBFF
CPUID 00000002: 00000000-00000000-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000005: 00000040-00000040-00000003-00000000
CPUID 00000006: 00000000-00000000-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 00000000-00000000-00000000-00000000
CPUID 0000000C: 00000000-00000000-00000000-00000000
CPUID 0000000D: 00000007-00000340-000003C0-40000000
CPUID 0000000D: 00000100-00000240-00000000-00000000
CPUID 80000000: 8000001E-68747541-444D4163-69746E65
CPUID 80000001: 00600F01-10000000-01C9BFFF-2FD3FBFF
CPUID 80000002: 20444D41-20676E45-706D6153-202C656C
CPUID 80000003: 3033445A-36343032-344B3457-36335F33
CPUID 80000004: 2F30332F-325F3032-415F382F-00000000
CPUID 80000005: FF20FF18-FF20FF30-10040140-40020140
CPUID 80000006: 64000000-64004200-08008140-0040C140
CPUID 80000007: 00000000-00000000-00000000-000003D9
CPUID 80000008: 00003030-00000000-00004003-00000000
CPUID 80000009: 00000000-00000000-00000000-00000000
CPUID 8000000A: 00000001-00010000-00000000-000014FF
CPUID 8000000B: 00000000-00000000-00000000-00000000
CPUID 8000000C: 00000000-00000000-00000000-00000000
CPUID 8000000D: 00000000-00000000-00000000-00000000
CPUID 8000000E: 00000000-00000000-00000000-00000000
CPUID 8000000F: 00000000-00000000-00000000-00000000
CPUID 80000010: 00000000-00000000-00000000-00000000
CPUID 80000011: 00000000-00000000-00000000-00000000
CPUID 80000012: 00000000-00000000-00000000-00000000
CPUID 80000013: 00000000-00000000-00000000-00000000
CPUID 80000014: 00000000-00000000-00000000-00000000
CPUID 80000015: 00000000-00000000-00000000-00000000
CPUID 80000016: 00000000-00000000-00000000-00000000
CPUID 80000017: 00000000-00000000-00000000-00000000
CPUID 80000018: 00000000-00000000-00000000-00000000
CPUID 80000019: F020F018-64000000-00000000-00000000
CPUID 8000001A: 00000003-00000000-00000000-00000000
CPUID 8000001B: 000000FF-00000000-00000000-00000000
CPUID 8000001C: 00000000-80032013-00010200-8000000F
CPUID 8000001D: 00000121-00C0003F-0000003F-00000000
CPUID 8000001D: 00004122-0040003F-000001FF-00000000
CPUID 8000001D: 00004143-03C0003F-000007FF-00000001
CPUID 8000001D: 00004163-0FC0003F-000007FF-00000001
CPUID 8000001E: 00000011-00000100-00000000-00000000

CPUID Registers (CPU #3):
CPUID 00000000: 0000000D-68747541-444D4163-69746E65
CPUID 00000001: 00600F01-02040800-1E98220B-178BFBFF
