CPUID 00000000  	00000001-746E6543-736C7561-48727561
CPUID 00000001  	00000691-00000000-00000000-0380B135
CPUID 80000000  	80000009-00000000-00000000-00000000
CPUID 80000001  	00000691-00000000-00000000-1380B135
CPUID 80000002  	20414956-6568654E-6861696D-00000000
CPUID 80000003  	00000000-00000000-00000000-00000000
CPUID 80000004  	00000000-00000000-00000000-00000000
CPUID 80000005  	00000000-08800880-40040120-40040120
CPUID 80000006  	00000000-00000000-00410120-00000000
CPUID 80000007  	00000000-00000000-00000000-00000000
CPUID 80000008  	00002020-00000000-00000000-00000000
CPUID 80000009  	4C0C4E00-00000000-00000000-00000000 
