CPUID Registers (CPU #1):
CPUID 00000000: 00000002-756E6547-6C65746E-49656E69
CPUID 00000001: 00010650-00000800-00000000-8FE9FBFF
CPUID 00000002: 02B3B001-000000F0-00000000-2C04303F
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000000-00000000
CPUID 80000002: 756E6547-20656E69-65746E49-2952286C
CPUID 80000003: 6F727020-73736563-2020726F-20202020
CPUID 80000004: 20202020-20202020-30303820-007A484D
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-01002040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000000
CPUID 80000008: 00002020-00000000-00000000-00000000
