CPU#00 AffMask: 0X0000000000000000:0000000000000001 
CPUID 00000000: 0000000B-756E6547-6C65746E-49656E69 
CPUID 00000001: 000206F2-00400800-02BEE3FF-BFEBFBFF 
CPUID 00000002: 55035A01-00F0B2FF-00000000-00CA0000 
CPUID 00000003: 00000000-00000000-00000000-00000000 
CPUID 00000004: 7C004121-01C0003F-0000003F-00000000 
CPUID 00000004: 7C004122-00C0003F-0000007F-00000000 
CPUID 00000004: 7C004143-01C0003F-000001FF-00000000 
CPUID 00000004: 7C0FC163-05C0003F-00004FFF-00000006 
CPUID 00000005: 00000040-00000040-00000003-00001120 
CPUID 00000006: 00000005-00000001-00000001-00000000 
CPUID 00000007: 00000000-00000000-00000000-00000000 
CPUID 00000008: 00000000-00000000-00000000-00000000 
CPUID 00000009: 00000000-00000000-00000000-00000000 
CPUID 0000000A: 07300403-00000004-00000000-00000603 
CPUID 0000000B: 00000001-00000002-00000100-00000000 
CPUID 0000000B: 00000006-00000014-00000201-00000000 
CPUID 80000000: 80000008-00000000-00000000-00000000 
CPUID 80000001: 00000000-00000000-00000001-2C100800 
CPUID 80000002: 20202020-49202020-6C65746E-20295228 
CPUID 80000003: 6E6F6558-20295228-20555043-202D3745 
CPUID 80000004: 30373834-20402020-30342E32-007A4847 
CPUID 80000005: 00000000-00000000-00000000-00000000 
CPUID 80000006: 00000000-00000000-01006040-00000000 
CPUID 80000007: 00000000-00000000-00000000-00000100 
CPUID 80000008: 0000302C-00000000-00000000-00000000 

CPU#01 AffMask: 0X0000000000000000:0000000000000002 
CPUID 00000000: 0000000B-756E6547-6C65746E-49656E69 
CPUID 00000001: 000206F2-01400800-02BEE3FF-BFEBFBFF 
CPUID 00000002: 55035A01-00F0B2FF-00000000-00CA0000 
CPUID 00000003: 00000000-00000000-00000000-00000000 
CPUID 00000004: 7C004121-01C0003F-0000003F-00000000 
CPUID 00000004: 7C004122-00C0003F-0000007F-00000000 
CPUID 00000004: 7C004143-01C0003F-000001FF-00000000 
CPUID 00000004: 7C0FC163-05C0003F-00004FFF-00000006 
CPUID 00000005: 00000040-00000040-00000003-00001120 
CPUID 00000006: 00000005-00000001-00000001-00000000 
CPUID 00000007: 00000000-00000000-00000000-00000000 
CPUID 00000008: 00000000-00000000-00000000-00000000 
CPUID 00000009: 00000000-00000000-00000000-00000000 
CPUID 0000000A: 07300403-00000004-00000000-00000603 
CPUID 0000000B: 00000001-00000002-00000100-00000001 
CPUID 0000000B: 00000006-00000014-00000201-00000001 
CPUID 80000000: 80000008-00000000-00000000-00000000 
CPUID 80000001: 00000000-00000000-00000001-2C100800 
CPUID 80000002: 20202020-49202020-6C65746E-20295228 
CPUID 80000003: 6E6F6558-20295228-20555043-202D3745 
