CPUID Registers (CPU #1):
CPUID 00000000: 0000000A-756E6547-6C65746E-49656E69
CPUID 00000001: 00030669-00040800-0040E3BD-BFEBFBFF
CPUID 00000002: 4FBA5901-0E3080C0-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 04004121-0140003F-0000003F-00000001
CPUID 00000004: 04004122-01C0003F-0000003F-00000001
CPUID 00000004: 04004143-01C0003F-000003FF-00000001
CPUID 00000005: 00000040-00000040-00000003-03020220
CPUID 00000006: 00000005-00000002-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07280203-00000000-00000000-00000503
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-20100000
CPUID 80000002: 20202020-20202020-65746E49-2952286C
CPUID 80000003: 6F744120-4D54286D-50432029-31532055
CPUID 80000004: 20303632-20402020-30302E32-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-02006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #2 Virtual):
CPUID 00000000: 0000000A-756E6547-6C65746E-49656E69
CPUID 00000001: 00030669-01040800-0040E3BD-BFEBFBFF
CPUID 00000002: 4FBA5901-0E3080C0-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 04004121-0140003F-0000003F-00000001
CPUID 00000004: 04004122-01C0003F-0000003F-00000001
CPUID 00000004: 04004143-01C0003F-000003FF-00000001
CPUID 00000005: 00000040-00000040-00000003-03020220
CPUID 00000006: 00000005-00000002-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07280203-00000000-00000000-00000503
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-20100000
CPUID 80000002: 20202020-20202020-65746E49-2952286C
CPUID 80000003: 6F744120-4D54286D-50432029-31532055
CPUID 80000004: 20303632-20402020-30302E32-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-02006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #3):
CPUID 00000000: 0000000A-756E6547-6C65746E-49656E69
CPUID 00000001: 00030669-02040800-0040E3BD-BFEBFBFF
CPUID 00000002: 4FBA5901-0E3080C0-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 04004121-0140003F-0000003F-00000001
CPUID 00000004: 04004122-01C0003F-0000003F-00000001
CPUID 00000004: 04004143-01C0003F-000003FF-00000001
CPUID 00000005: 00000040-00000040-00000003-03020220
CPUID 00000006: 00000005-00000002-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07280203-00000000-00000000-00000503
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-20100000
CPUID 80000002: 20202020-20202020-65746E49-2952286C
CPUID 80000003: 6F744120-4D54286D-50432029-31532055
CPUID 80000004: 20303632-20402020-30302E32-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-02006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
 
CPUID Registers (CPU #4 Virtual):
CPUID 00000000: 0000000A-756E6547-6C65746E-49656E69
CPUID 00000001: 00030669-03040800-0040E3BD-BFEBFBFF
CPUID 00000002: 4FBA5901-0E3080C0-00000000-00000000
CPUID 00000003: 00000000-00000000-00000000-00000000
CPUID 00000004: 04004121-0140003F-0000003F-00000001
CPUID 00000004: 04004122-01C0003F-0000003F-00000001
CPUID 00000004: 04004143-01C0003F-000003FF-00000001
CPUID 00000005: 00000040-00000040-00000003-03020220
CPUID 00000006: 00000005-00000002-00000001-00000000
CPUID 00000007: 00000000-00000000-00000000-00000000
CPUID 00000008: 00000000-00000000-00000000-00000000
CPUID 00000009: 00000000-00000000-00000000-00000000
CPUID 0000000A: 07280203-00000000-00000000-00000503
CPUID 80000000: 80000008-00000000-00000000-00000000
CPUID 80000001: 00000000-00000000-00000001-20100000
CPUID 80000002: 20202020-20202020-65746E49-2952286C
CPUID 80000003: 6F744120-4D54286D-50432029-31532055
CPUID 80000004: 20303632-20402020-30302E32-007A4847
CPUID 80000005: 00000000-00000000-00000000-00000000
CPUID 80000006: 00000000-00000000-02006040-00000000
CPUID 80000007: 00000000-00000000-00000000-00000100
CPUID 80000008: 00003024-00000000-00000000-00000000
